Pair,Entry Time,Exit Time,Alloc,EntryZ,ZScale,Trade Return,Trade Costs,Slippage,Alpha PnL,Realized PnL,Capital After
AKBNK-FROTO,2022-10-25,2022-11-28,100944.66353392953,-1.5768224759980443,1.0,-0.2341394773478579,80.75573082714362,40.37786541357181,-23635.13076088963,-23756.264357130345,1593989.8311239362
SAHOL-YKBNK,2022-11-16,2022-11-30,96968.2834300446,-2.8715916191585396,1.0,0.06700562239376458,77.57462674403568,38.78731337201784,6497.420183685107,6381.058243569054,1601468.7918831494
BRSAN-HEKTS,2022-09-15,2022-12-01,98294.896668199,1.6065865531443495,1.0,0.5226478960479848,78.63591733455921,39.317958667279605,51373.62093588828,51255.66705988644,1653272.2741278769
TTKOM-TUPRS,2022-11-21,2022-12-01,95756.78997323822,3.5976730051043537,1.0,-0.07687721022155553,76.60543197859059,38.302715989295294,-7361.514872913975,-7476.423020881861,1645795.851106995
SASA-TUPRS,2022-10-17,2022-12-02,97866.18560512051,-2.2262701118442716,1.0,-0.0019073923708362028,78.29294848409641,39.14647424204821,-186.66921578604666,-304.1086385121913,1645977.2112804714
EKGYO-ENJSA,2022-10-12,2022-12-07,96988.82006273762,1.7784454003788868,1.0,0.1284000057389556,77.5910560501901,38.79552802509505,12453.365052670042,12336.978468594756,1660743.226449602
SASA-TAVHL,2022-10-13,2022-12-08,97715.2715581115,-2.1298789275989023,1.0,-0.12569350294332052,78.17221724648921,39.086108623244606,-12282.174773196852,-12399.433099066586,1648830.8574568524
SASA-SOKM,2022-10-12,2022-12-13,96988.82006273762,-3.3666590124369957,1.0,0.23175889690636642,77.5910560501901,38.79552802509505,22478.021949990132,22361.635365914848,1673615.5703986683
GUBRF-TOASO,2022-11-18,2022-12-15,95659.10468326094,3.080752959025226,1.0,-0.18907083437855043,76.52728374660876,38.26364187330438,-18086.346738369248,-18201.13766398916,1656401.1216054915
PETKM-TSKB,2022-11-11,2022-12-16,97624.33615676989,1.824363963609588,1.0,-0.13118381509759292,78.09946892541592,39.04973446270796,-12806.732863414956,-12923.88206680308,1643965.9035385163
BIMAS-KONTR,2022-10-04,2022-12-27,95023.05084682649,1.6887265726179643,1.0,0.37638488403604026,76.0184406774612,38.0092203387306,35765.23997373354,35651.21231271735,1685003.6309622156
KRDMD-VESTL,2022-11-03,2023-01-09,97953.47812887082,1.825254862189281,1.0,-0.36874926383945994,78.36278250309665,39.18139125154833,-36120.27295053576,-36237.817124290406,1655324.746558067
SAHOL-YKBNK,2022-12-08,2023-01-09,98929.85144741114,-2.1076431953768955,1.0,0.09402645556586132,79.14388115792892,39.57194057896446,9302.023281257265,9183.307459520373,1664508.0540175873
KOZAL-TKFEN,2022-11-28,2023-01-10,95639.38986743617,-2.150493035411289,1.0,0.365321378020136,76.51151189394893,38.25575594697447,34939.11369937681,34824.34643153589,1699825.5480637872
OYAKC-TUPRS,2022-12-02,2023-01-12,98758.63267682827,-2.3378208836496817,1.0,-0.06053496071235218,79.00690614146262,39.50345307073131,-5978.34994909742,-6096.860308309614,1694734.7749810035
TTKOM-TUPRS,2022-12-12,2023-01-20,99046.01988624346,-1.8110634652427693,1.0,-0.08357704796104704,79.23681590899477,39.618407954497386,-8277.973954383388,-8396.82917824688,1690349.7837683184
BRSAN-HEKTS,2022-12-19,2023-01-25,98725.32998919564,-1.9459972297475552,1.0,-0.1020035537444535,78.98026399135652,39.49013199567826,-10070.334503491824,-10188.804899478859,1682689.6156874096
SASA-SOKM,2022-12-16,2023-01-26,98637.95421231097,3.451242855716877,1.0,0.48914950375381533,78.91036336984878,39.45518168492439,48248.70635424347,48130.340809188696,1731320.7491640549
EGEEN-PETKM,2022-11-09,2023-01-30,97558.24959696458,-2.539476557246442,1.0,0.5014922654216093,78.04659967757166,39.02329983878583,48924.70760094857,48807.637701432206,1782183.469266471
